60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;14;234377
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;14;213791
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;14;209414
63;Frankfurt (Oder) – Oder-Spree;14;216414
64;Cottbus – Spree-Neiße;14;214098
65;Elbe-Elster – Oberspreewald-Lausitz II;14;213132
66;Altmark;6;226117
67;Börde – Jerichower Land;6;205564
68;Harz;6;165493
69;Magdeburg;6;218889
70;Dessau – Wittenberg;6;196250
71;Anhalt;6;214614
72;Halle;6;192676
73;Burgenland – Saalekreis;6;202204
74;Mansfeld;6;227631
75;Berlin-Mitte;1;225823
76;Berlin-Pankow;1;207485
77;Berlin-Reinickendorf;1;182593
78;Berlin-Spandau – Charlottenburg Nord;1;171223
79;Berlin-Steglitz-Zehlendorf;1;166103
80;Berlin-Charlottenburg-Wilmersdorf;1;208991
81;Berlin-Tempelhof-Schöneberg;1;191475
82;Berlin-Neukölln;1;167962
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;1;195692
84;Berlin-Treptow-Köpenick;1;172167
85;Berlin-Marzahn-Hellersdorf;1;191504
86;Berlin-Lichtenberg;1;181476
87;Aachen I;5;201091
88;Aachen II;5;206061
89;Heinsberg;5;198648
90;Düren;5;190611
91;Rhein-Erft-Kreis I;5;193909
92;Euskirchen – Rhein-Erft-Kreis II;5;227762
93;Köln I;5;210355
94;Köln II;5;233596
95;Köln III;5;247179
96;Bonn;5;230975
97;Rhein-Sieg-Kreis I;5;206505
98;Rhein-Sieg-Kreis II;5;172330
99;Oberbergischer Kreis;5;213488
100;Rheinisch-Bergischer Kreis;5;247138
101;Leverkusen – Köln IV;5;212903
102;Wuppertal I;5;181174
103;Solingen – Remscheid – Wuppertal II;5;210904
104;Mettmann I;5;184009
105;Mettmann II;5;213946
106;Düsseldorf I;5;206701
107;Düsseldorf II;5;200068
108;Neuss I;5;238091
109;Mönchengladbach;5;232311
110;Krefeld I – Neuss II;5;205948
111;Viersen;5;215751
112;Kleve;5;210836
113;Wesel I;5;206189
114;Krefeld II – Wesel II;5;189728
115;Duisburg I;5;224555
116;Duisburg II;5;180203
117;Oberhausen – Wesel III;5;191354
118;Mülheim – Essen I;5;184686
119;Essen II;5;210867
120;Essen III;5;215246
121;Recklinghausen I;5;209960
122;Recklinghausen II;5;180491
123;Gelsenkirchen;5;182026
124;Steinfurt I – Borken I;5;175085
125;Bottrop – Recklinghausen III;5;220668
126;Borken II;5;189698
127;Coesfeld – Steinfurt II;5;177413
128;Steinfurt III;5;196605
129;Münster;5;195615
130;Warendorf;5;219357
131;Gütersloh I;5;174002
132;Bielefeld – Gütersloh II;5;221650
133;Herford – Minden-Lübbecke II;5;240017
134;Minden-Lübbecke I;5;234360
135;Lippe I;5;199685
136;Höxter – Lippe II;5;240333
137;Paderborn – Gütersloh III;5;195077
138;Hagen – Ennepe-Ruhr-Kreis I;5;198113
139;Ennepe-Ruhr-Kreis II;5;175441
140;Bochum I;5;187473
141;Herne – Bochum II;5;166313
142;Dortmund I;5;193803
143;Dortmund II;5;211010
144;Unna I;5;256317
145;Hamm – Unna II;5;201931
146;Soest;5;217129
147;Hochsauerlandkreis;5;220643
148;Siegen-Wittgenstein;5;232164
149;Olpe – Märkischer Kreis I;5;180540
150;Märkischer Kreis II;5;216137
151;Nordsachsen;16;191191
152;Leipzig I;16;183064
153;Leipzig II;16;247128
154;Leipzig-Land;16;166975
155;Meißen;16;205756
156;Bautzen I;16;179130
157;Görlitz;16;221739
158;Sächsische Schweiz-Osterzgebirge;16;209968
159;Dresden I;16;226751
160;Dresden II – Bautzen II;16;241656
161;Mittelsachsen;16;224384
162;Chemnitz;16;175434
163;Chemnitzer Umland – Erzgebirgskreis II;16;222959
164;Erzgebirgskreis I;16;205735
165;Zwickau;16;209733
166;Vogtlandkreis;16;207555
167;Waldeck;7;215943
168;Kassel;7;198525
169;Werra-Meißner – Hersfeld-Rotenburg;7;213424
170;Schwalm-Eder;7;197424
171;Marburg;7;195953
172;Lahn-Dill;7;219976
173;Gießen;7;197679
174;Fulda;7;219472
175;Main-Kinzig – Wetterau II – Schotten;7;229316
176;Hochtaunus;7;215623
177;Wetterau I;7;205119
178;Rheingau-Taunus – Limburg;7;199241
179;Wiesbaden;7;166191
180;Hanau;7;202393
181;Main-Taunus;7;177313
182;Frankfurt am Main I;7;199091
183;Frankfurt am Main II;7;193188
184;Groß-Gerau;7;220702
185;Offenbach;7;163772
186;Darmstadt;7;171016
187;Odenwald;7;185006
188;Bergstraße;7;184370
189;Eichsfeld – Nordhausen – Unstrut-Hainich-Kreis I;9;167160
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis II;9;192385
191;Kyffhäuserkreis – Sömmerda – Weimarer Land I;9;216717
192;Gotha – Ilm-Kreis;9;251146
193;Erfurt – Weimar – Weimarer Land II;9;254661
194;Gera – Jena – Saale-Holzland-Kreis;9;225557
195;Greiz – Altenburger Land;9;236523
196;Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis;9;215368
197;Suhl – Schmalkalden-Meiningen – Hildburghausen;9;239700
198;Neuwied;2;247787
199;Ahrweiler;2;231069
200;Koblenz;2;245379
201;Mosel/Rhein-Hunsrück;2;206868
202;Kreuznach;2;252724
203;Bitburg;2;155082
204;Trier;2;251273
205;Montabaur;2;186392
206;Mainz;2;163308
207;Worms;2;173773
208;Ludwigshafen/Frankenthal;2;215146
209;Neustadt – Speyer;2;248820
210;Kaiserslautern;2;216389
211;Pirmasens;2;170403
212;Südpfalz;2;179923
213;Altötting;4;164828
214;Erding – Ebersberg;4;160103
215;Freising;4;174569
216;Fürstenfeldbruck;4;172449
217;Ingolstadt;4;243643
218;München-Nord;4;179506
219;München-Ost;4;253603
220;München-Süd;4;193031
221;München-West/Mitte;4;185799
222;München-Land;4;226102
223;Rosenheim;4;184171
224;Starnberg;4;217994
225;Traunstein;4;197762
226;Weilheim;4;200150
227;Deggendorf;4;226597
228;Landshut;4;208231
229;Passau;4;244203
230;Rottal-Inn;4;189974
231;Straubing;4;237651
232;Amberg;4;224278
233;Regensburg;4;244541
234;Schwandorf;4;204905
235;Weiden;4;211529
236;Bamberg;4;181521
237;Bayreuth;4;198117
238;Coburg;4;204085
239;Hof;4;235344
240;Kulmbach;4;182934
241;Ansbach;4;187363
242;Erlangen;4;220007
243;Fürth;4;197797
244;Nürnberg-Nord;4;235259
245;Nürnberg-Süd;4;205635
246;Roth;4;226240
247;Aschaffenburg;4;201629
248;Bad Kissingen;4;203968
249;Main-Spessart;4;205457
250;Schweinfurt;4;162624
251;Würzburg;4;160234
252;Augsburg-Stadt;4;250706
253;Augsburg-Land;4;251583
254;Donau-Ries;4;191014
255;Neu-Ulm;4;244812
256;Oberallgäu;4;240784
257;Ostallgäu;4;199341
258;Stuttgart I;10;187157
259;Stuttgart II;10;177689
260;Böblingen;10;220166
261;Esslingen;10;208976
262;Nürtingen;10;223885
263;Göppingen;10;244880
264;Waiblingen;10;234110
265;Ludwigsburg;10;218688
266;Neckar-Zaber;10;168695
267;Heilbronn;10;210456
268;Schwäbisch Hall – Hohenlohe;10;219865
269;Backnang – Schwäbisch Gmünd;10;220400
270;Aalen – Heidenheim;10;207261
271;Karlsruhe-Stadt;10;223726
272;Karlsruhe-Land;10;223614
273;Rastatt;10;207752
274;Heidelberg;10;233382
275;Mannheim;10;235691
276;Odenwald – Tauber;10;210677
277;Rhein-Neckar;10;201249
278;Bruchsal – Schwetzingen;10;191550
279;Pforzheim;10;232499
280;Calw;10;217679
281;Freiburg;10;201934
282;Lörrach – Müllheim;10;172378
283;Emmendingen – Lahr;10;228139
284;Offenburg;10;224917
285;Rottweil – Tuttlingen;10;244267
286;Schwarzwald-Baar;10;185954
287;Konstanz;10;236732
288;Waldshut;10;219667
289;Reutlingen;10;201043
290;Tübingen;10;217783
291;Ulm;10;196621
292;Biberach;10;192663
293;Bodensee;10;191261
294;Ravensburg;10;205859
295;Zollernalb – Sigmaringen;10;224121
296;Saarbrücken;12;238320
297;Saarlouis;12;170746
298;St. Wendel;12;218597
299;Homburg;12;196071
